pattern,m,n,k,msg_bytes,legs,alone_us,ovl_us,alone_p95,ovl_p95,S_c,tflops_alone,tflops_ovl,comm_alone_gbps,comm_ovl_gbps,gaps
pull,2048,2048,2048,67108864,3,156.46,158.73,156.90,159.94,1.0145,109.8,108.2,393.750,392.764,0
push,2048,2048,2048,67108864,3,156.46,157.32,156.90,158.37,1.0055,109.8,109.2,396.082,386.378,0
allgather,2048,2048,2048,67108864,12,156.46,170.02,156.90,181.22,1.0866,109.8,101.0,728.306,897.053,0
bystander,2048,2048,2048,67108864,3,156.46,156.42,156.90,156.86,0.9997,109.8,109.8,478.473,1075.962,0
engine-only,2048,2048,2048,67108864,1,156.46,156.59,156.90,157.06,1.0008,109.8,109.7,373.211,361.291,0
local,2048,2048,2048,67108864,1,156.46,159.43,156.90,160.58,1.0189,109.8,107.8,1514.682,413.605,0
pull,4096,4096,4096,67108864,3,1036.98,1040.63,1038.14,1044.93,1.0035,132.5,132.1,393.756,391.754,0
push,4096,4096,4096,67108864,3,1036.98,1036.79,1038.14,1037.95,0.9998,132.5,132.6,396.094,388.315,0
allgather,4096,4096,4096,67108864,12,1036.98,1048.75,1038.14,1060.16,1.0113,132.5,131.1,726.743,904.872,0
bystander,4096,4096,4096,67108864,3,1036.98,1036.50,1038.14,1037.54,0.9995,132.5,132.6,478.410,1061.690,0
engine-only,4096,4096,4096,67108864,1,1036.98,1036.52,1038.14,1037.63,0.9995,132.5,132.6,371.847,356.879,0
local,4096,4096,4096,67108864,1,1036.98,1067.00,1038.14,1069.41,1.0289,132.5,128.8,1510.071,173.195,0
pull,8192,8192,8192,67108864,3,7886.07,7886.84,7889.82,7890.62,1.0001,139.4,139.4,393.843,391.959,0
push,8192,8192,8192,67108864,3,7886.07,7886.10,7889.82,7889.57,1.0000,139.4,139.4,396.085,387.439,0
allgather,8192,8192,8192,67108864,12,7886.07,7897.77,7889.82,7909.18,1.0015,139.4,139.2,728.349,930.263,0
bystander,8192,8192,8192,67108864,3,7886.07,7886.60,7889.82,7890.34,1.0001,139.4,139.4,478.298,1083.881,0
engine-only,8192,8192,8192,67108864,1,7886.07,7886.60,7889.82,7891.20,1.0001,139.4,139.4,372.601,365.590,0
local,8192,8192,8192,67108864,1,7886.07,7891.34,7889.82,7920.42,1.0007,139.4,139.3,1509.975,52.964,0
