pattern,m,n,k,msg_bytes,legs,alone_us,ovl_us,alone_p95,ovl_p95,S_c,tflops_alone,tflops_ovl,comm_alone_gbps,comm_ovl_gbps,gaps
pull,8192,8192,8192,1048576,3,7887.48,7898.09,7890.53,7910.24,1.0013,139.4,139.2,113.850,140.246,21
pull,8192,8192,8192,4194304,3,7887.48,7887.04,7890.53,7893.09,0.9999,139.4,139.4,248.673,328.439,21
pull,8192,8192,8192,16777216,3,7887.48,7886.95,7890.53,7889.38,0.9999,139.4,139.4,348.156,393.856,0
pull,8192,8192,8192,67108864,3,7887.48,7887.90,7890.53,7889.98,1.0001,139.4,139.4,393.896,391.911,0
pull,8192,8192,8192,268435456,3,7887.48,7887.75,7890.53,7890.94,1.0000,139.4,139.4,396.344,390.093,0
allgather,8192,8192,8192,1048576,12,7887.48,7898.31,7890.53,7911.68,1.0014,139.4,139.2,121.496,227.167,96
allgather,8192,8192,8192,4194304,12,7887.48,7889.89,7890.53,7897.95,1.0003,139.4,139.4,271.883,536.864,84
allgather,8192,8192,8192,16777216,12,7887.48,7900.78,7890.53,7908.35,1.0017,139.4,139.2,424.906,821.758,0
allgather,8192,8192,8192,67108864,12,7887.48,7899.90,7890.53,7911.52,1.0016,139.4,139.2,728.309,883.343,0
allgather,8192,8192,8192,268435456,12,7887.48,7900.32,7890.53,7910.78,1.0016,139.4,139.2,777.266,866.438,0
