m,n,k,world,S,chunk_rows,chunk_mib,mode,streams,t_full_us,t_seg_us,t_comm_us,t_ovl_us,seg_eff,comm_gbps,overlap_eff,e2e_tflops,verify
8192,8192,8192,4,1,2048,32.000,pull,3,7889.14,8172.87,264.82,8203.49,0.9653,380.13,0.8844,134.0,-
8192,8192,8192,4,2,1024,16.000,pull,3,7889.14,9373.78,266.79,9393.69,0.8416,377.32,0.9254,117.0,-
8192,8192,8192,4,4,512,8.000,pull,3,7889.14,9406.19,264.89,9446.23,0.8387,380.02,0.8489,116.4,-
8192,8192,8192,4,8,256,4.000,pull,3,7889.14,9530.45,268.33,9563.71,0.8278,375.14,0.8760,115.0,-
8192,8192,8192,4,16,128,2.000,pull,3,7889.14,19000.82,319.41,19085.96,0.4152,315.16,0.7334,57.6,-
8192,8192,8192,4,32,64,1.000,pull,3,7889.14,37996.00,462.76,38130.98,0.2076,217.53,0.7083,28.8,-
16384,8192,8192,4,1,4096,64.000,pull,3,15485.81,16313.79,517.07,16387.37,0.9492,389.36,0.8577,134.2,-
16384,8192,8192,4,2,2048,32.000,pull,3,15485.81,16346.87,517.78,16410.63,0.9473,388.82,0.8768,134.0,-
16384,8192,8192,4,4,1024,16.000,pull,3,15485.81,18731.66,519.17,18781.58,0.8267,387.78,0.9038,117.1,-
16384,8192,8192,4,8,512,8.000,pull,3,15485.81,18812.86,522.70,18895.32,0.8232,385.16,0.8422,116.4,-
16384,8192,8192,4,16,256,4.000,pull,3,15485.81,19029.31,530.15,19131.83,0.8138,379.75,0.8066,114.9,-
16384,8192,8192,4,32,128,2.000,pull,3,15485.81,38013.15,644.21,38176.64,0.4074,312.52,0.7462,57.6,-
