m,n,k,epi,mode,peer,iter_us,iter_p95,slowdown,tflops,d_write_gbps,verify
8192,8192,8192,tma,local,-1,7898.54,7912.03,1.0000,139.2,16.99,ref
8192,8192,8192,tma,remote,1,7898.26,7901.41,1.0000,139.2,16.99,ok
8192,8192,8192,tma,scatter-local,-1,8201.00,8204.51,1.0383,134.1,16.37,ok
8192,8192,8192,tma,scatter,-1,8252.67,8255.39,1.0448,133.2,16.26,ok
8192,8192,8192,nosmem,local,-1,7990.50,7993.34,1.0000,137.6,16.80,ref
8192,8192,8192,nosmem,remote,1,8238.38,8258.14,1.0310,133.5,16.29,ok
8192,8192,8192,nosmem,scatter-local,-1,8319.81,8322.27,1.0412,132.2,16.13,ok
8192,8192,8192,nosmem,scatter,-1,9024.96,9048.29,1.1295,121.8,14.87,ok
8192,8192,2048,tma,local,-1,2019.71,2024.26,1.0000,136.1,66.45,ref
8192,8192,2048,tma,remote,1,2036.38,2037.76,1.0083,135.0,65.91,ok
8192,8192,2048,tma,scatter-local,-1,2111.92,2113.02,1.0457,130.2,63.55,ok
8192,8192,2048,tma,scatter,-1,2174.38,2176.48,1.0766,126.4,61.73,ok
8192,8192,2048,nosmem,local,-1,2133.23,2138.56,1.0000,128.9,62.92,ref
8192,8192,2048,nosmem,remote,1,3152.96,3251.10,1.4780,87.2,42.57,ok
8192,8192,2048,nosmem,scatter-local,-1,2243.91,2246.05,1.0519,122.5,59.81,ok
8192,8192,2048,nosmem,scatter,-1,3330.60,3372.86,1.5613,82.5,40.30,ok
8192,8192,512,tma,local,-1,550.99,551.42,1.0000,124.7,243.59,ref
8192,8192,512,tma,remote,1,570.74,573.28,1.0359,120.4,235.16,ok
8192,8192,512,tma,scatter-local,-1,590.15,590.82,1.0711,116.4,227.43,ok
8192,8192,512,tma,scatter,-1,653.18,655.23,1.1855,105.2,205.48,ok
8192,8192,512,nosmem,local,-1,666.28,671.68,1.0000,103.1,201.44,ref
8192,8192,512,nosmem,remote,1,2705.54,2716.03,4.0607,25.4,49.61,ok
8192,8192,512,nosmem,scatter-local,-1,725.70,728.10,1.0892,94.7,184.95,ok
8192,8192,512,nosmem,scatter,-1,2295.33,2300.58,3.4450,29.9,58.47,ok
