mode,fanin,bytes,min_us,p50_us,p95_us,p99_us,verify
signal,1,0,2.498,2.707,2.714,2.717,skip
signal,2,0,2.705,2.719,2.927,2.939,skip
signal,4,0,2.706,2.721,2.937,2.943,skip
signal,8,0,2.708,2.723,2.937,2.944,skip
signal,16,0,2.731,2.961,3.589,3.601,skip
signal,32,0,2.719,3.554,3.764,3.780,skip
post,1,4096,2.497,2.704,2.714,2.733,ok
post,1,8192,2.499,2.706,2.713,2.715,ok
post,1,16384,2.498,2.703,2.713,2.729,ok
post,1,32768,2.498,2.706,2.714,2.718,ok
post,1,65536,2.498,2.707,2.713,2.718,ok
post,1,131072,2.499,2.705,2.713,2.716,ok
post,2,4096,2.526,2.713,2.722,2.739,ok
post,2,8192,2.703,2.713,2.734,2.922,ok
post,2,16384,2.701,2.713,2.731,2.922,ok
post,2,32768,2.704,2.714,2.920,2.924,ok
post,2,65536,2.703,2.713,2.921,2.924,ok
post,2,131072,2.703,2.713,2.921,2.924,ok
post,4,4096,2.706,2.719,2.923,2.933,ok
post,4,8192,2.706,2.719,2.740,2.928,ok
post,4,16384,2.537,2.719,2.736,2.928,ok
post,4,32768,2.707,2.719,2.744,2.932,ok
post,4,65536,2.705,2.720,3.551,3.573,ok
post,4,131072,2.707,2.720,2.930,2.937,ok
post,8,4096,2.709,2.719,2.746,2.938,ok
post,8,8192,2.712,2.721,2.736,2.753,ok
post,8,16384,2.709,2.720,2.734,2.748,ok
post,8,32768,2.705,2.719,2.735,2.756,ok
post,8,65536,2.707,2.719,2.732,2.753,ok
post,8,131072,2.706,2.719,4.379,4.392,ok
post,16,4096,2.729,2.743,4.407,4.603,ok
post,16,8192,2.730,2.741,3.365,3.382,ok
post,16,16384,2.733,3.380,4.227,4.429,ok
post,16,32768,2.730,3.362,3.591,3.596,ok
post,16,65536,2.729,2.748,3.578,3.588,ok
post,16,131072,2.729,2.947,3.580,3.594,ok
post,32,4096,2.701,3.338,3.585,3.622,ok
post,32,8192,2.704,3.364,3.601,3.786,ok
post,32,16384,2.703,3.349,3.578,3.613,ok
post,32,32768,2.700,3.360,3.588,3.608,ok
post,32,65536,2.696,2.926,3.568,3.590,ok
post,32,131072,2.698,3.357,3.591,3.772,ok
push,1,4096,3.116,3.326,3.331,3.334,ok
push,1,8192,3.324,3.532,3.537,3.540,ok
push,1,16384,3.767,3.946,4.152,4.156,ok
push,1,32768,4.559,4.771,4.977,4.979,ok
push,1,65536,6.210,6.618,6.643,6.829,ok
push,1,131072,9.499,9.914,10.123,10.125,ok
push,2,4096,3.321,3.330,3.540,3.543,ok
push,2,8192,3.528,3.540,3.749,3.753,ok
push,2,16384,3.938,3.953,4.162,4.164,ok
push,2,32768,4.763,4.976,4.987,4.994,ok
push,2,65536,6.412,6.627,6.839,6.852,ok
push,2,131072,9.705,10.122,10.329,10.336,ok
push,4,4096,3.322,3.336,3.549,3.554,ok
push,4,8192,3.529,3.549,3.758,3.764,ok
push,4,16384,3.942,4.166,4.585,4.786,ok
push,4,32768,4.766,4.984,4.998,5.002,ok
