=== push-vs-pull completion signalling, 32-way logical fan-in max ===
target GPU 0 (NVIDIA H20), 3 source GPU(s): 1 2 3
rounds 300 (+50 warmup)   threads/CTA 256   slot stride 131072 B
clock64 calibration: 1829.0 cycles/us (lock clocks or this drifts with DVFS)

=== signal ===
 fanin       size     min(us)     p50(us)     p95(us)     p99(us)   verify
     1          -        2.50        2.71        2.71        2.72   skip
     2          -        2.70        2.72        2.93        2.94   skip
     4          -        2.71        2.72        2.94        2.94   skip
     8          -        2.71        2.72        2.94        2.94   skip
    16          -        2.73        2.96        3.59        3.60   skip
    32          -        2.72        3.55        3.76        3.78   skip

=== post ===
 fanin       size     min(us)     p50(us)     p95(us)     p99(us)   verify
     1       4096        2.50        2.70        2.71        2.73   ok
     1       8192        2.50        2.71        2.71        2.72   ok
     1      16384        2.50        2.70        2.71        2.73   ok
     1      32768        2.50        2.71        2.71        2.72   ok
     1      65536        2.50        2.71        2.71        2.72   ok
     1     131072        2.50        2.71        2.71        2.72   ok
     2       4096        2.53        2.71        2.72        2.74   ok
     2       8192        2.70        2.71        2.73        2.92   ok
     2      16384        2.70        2.71        2.73        2.92   ok
     2      32768        2.70        2.71        2.92        2.92   ok
     2      65536        2.70        2.71        2.92        2.92   ok
     2     131072        2.70        2.71        2.92        2.92   ok
     4       4096        2.71        2.72        2.92        2.93   ok
     4       8192        2.71        2.72        2.74        2.93   ok
     4      16384        2.54        2.72        2.74        2.93   ok
     4      32768        2.71        2.72        2.74        2.93   ok
     4      65536        2.71        2.72        3.55        3.57   ok
     4     131072        2.71        2.72        2.93        2.94   ok
     8       4096        2.71        2.72        2.75        2.94   ok
     8       8192        2.71        2.72        2.74        2.75   ok
     8      16384        2.71        2.72        2.73        2.75   ok
     8      32768        2.71        2.72        2.74        2.76   ok
     8      65536        2.71        2.72        2.73        2.75   ok
     8     131072        2.71        2.72        4.38        4.39   ok
    16       4096        2.73        2.74        4.41        4.60   ok
    16       8192        2.73        2.74        3.37        3.38   ok
    16      16384        2.73        3.38        4.23        4.43   ok
